ndb_no,nrfi,long_name,manufacturer,serving_size,serving_size_uom,household_serving_size,household_serving_size_uom,energy_per_serving,energy_per_serving_uom
45038193,-0.84399998188,"MEIJER, MUSHROOM GRAVY MIX","Meijer, Inc.",5.0,g,0.25,CUP) | (MAKES,20.0,kcal
45038202,-inf,"MEIJER, COUNTRY GRAVY MIX","Meijer, Inc.",9.0,g,0.25,CUP) | (MAKES,39.9599990845,kcal
45038212,-inf,DOUBLE SANDWICHCREME COOKIES,"Meijer, Inc.",30.0,g,2.0,COOKIES,140.100006104,kcal
45038215,-inf,"MEIJER, TURKEY GRAVY","Meijer, Inc.",60.0,g,0.25,cup,15.0,kcal
45038216,-0.662776231766,"MEIJER, BEEF GRAVY","Meijer, Inc.",60.0,g,0.25,cup,25.1999988556,kcal
45038217,,"MEIJER, FUDGE MARSHMALLOW CHOCOLATE COOKIES","Meijer, Inc.",29.0,g,1.0,COOKIE,129.919998169,kcal
45038218,-0.253104120493,"MEIJER, FUDGE TREASURES, FUDGE COVERED GRAHAM COOKIES","Meijer, Inc.",27.0,g,3.0,COOKIES,140.130004883,kcal
45038219,-0.23041626811,"MEIJER, CHICKEN GRAVY","Meijer, Inc.",60.0,g,0.25,cup,25.1999988556,kcal
45038222,-0.599978864193,"MEIJER, CHICKEN GRAVY","Meijer, Inc.",60.0,g,0.25,cup,30.0,kcal
45038224,-1.13288891315,"MEIJER, LEMONADE","Meijer, Inc.",17.0,g,0.119999997318,CAP (MAKES 8 FL OZ),60.0099983215,kcal
45038227,-0.575754463673,"MEIJER, TURKEY GRAVY","Meijer, Inc.",60.0,g,0.25,cup,25.1999988556,kcal
45038232,inf,"MEIJER, CHILI POWDER","Meijer, Inc.",0.5,g,0.25,tsp,0.0,kcal
45038305,0.0617638938129,COCONUT FLAKES,"Meijer, Inc.",15.0,g,2.0,Tbsp,70.0500030518,kcal
45038309,-0.237545803189,WALNUT HALVES & PIECES,"Meijer, Inc.",34.0,g,0.333000004292,cup,219.979995728,kcal
45038313,-0.184966728091,PECAN HALVES,"Meijer, Inc.",28.0,g,0.25,cup,190.119995117,kcal
45038314,-0.133603692055,"MEIJER, PREMIUM QUALITY ALMONDS NUTS","Meijer, Inc.",34.0,g,0.25,cup,199.919998169,kcal
45038315,0.116836294532,PECAN CHIPS,"Meijer, Inc.",28.0,g,0.25,cup,190.119995117,kcal
45038316,0.0914374440908,"MEIJER, WALNUTS","Meijer, Inc.",34.0,g,0.333000004292,cup,219.979995728,kcal
45038317,0.123465493321,WALNUTS CHOPPED,"Meijer, Inc.",30.0,g,0.25,cup,200.100006104,kcal
45038318,0.191680729389,ALMONDS SLICED,"Meijer, Inc.",32.0,g,0.333000004292,cup,190.080001831,kcal
45038321,-0.194312036037,ORGANIC UNSWEETENED COCONUT FLAKES,"Meijer, Inc.",15.0,g,2.0,Tbsp,109.949996948,kcal
45038322,-0.11688606441,CHOPPED PEANUTS,"Meijer, Inc.",30.0,g,0.25,cup,180.0,kcal
45038324,0.0264305602759,SWEETENED COCONUT FLAKES,"Meijer, Inc.",15.0,g,2.0,Tbsp,70.0500030518,kcal
45038325,0.142251491547,SLIVERED ALMONDS,"Meijer, Inc.",30.0,g,0.25,cup,180.0,kcal
45038326,0.142756476998,SLICED ALMONDS,"Meijer, Inc.",32.0,g,0.333000004292,cup,190.080001831,kcal
45038327,0.111829347908,BLACK WALNUTS,"Meijer, Inc.",30.0,g,0.25,cup,189.899993896,kcal
45038328,0.0838987156749,PINE NUTS,"Meijer, Inc.",30.0,g,0.25,cup,200.100006104,kcal
45038339,-0.0835201889277,"MEIJER, JUMBO FLAKY BISCUITS, ORIGINAL","Meijer, Inc.",57.0,g,1.0,BISCUIT,180.120010376,kcal
45038340,-0.122202932835,FLAKY JUMBO BISCUITS,"Meijer, Inc.",57.0,g,1.0,BISCUIT,180.120010376,kcal
45038395,0.535203635693,"PURPLE COW, BLENDED LOW FAT YOGURT, BLUEBERRY","Meijer, Inc.",170.0,g,1.0,CONTAINER,159.800003052,kcal
45038400,0.491330623627,FRUIT ON THE BOTTOM LOWFAT YOGURT,"Meijer, Inc.",170.0,g,1.0,CONTAINER,149.600006104,kcal
45038401,0.730409801006,"PURPLE COW, LOW FAT YOGURT, STRAWBERRY","Meijer, Inc.",170.0,g,1.0,CONTAINER,90.0999984741,kcal
45038402,0.625385582447,"PURPLE COW, NONFAT YOGURT LIGHT, BOSTON CREAM PIE","Meijer, Inc.",170.0,g,1.0,CONTAINER,100.299995422,kcal
45038403,0.616358339787,"PURPLE COW, BLENDED LOWFAT YOGURT, ORANGE CREAM","Meijer, Inc.",170.0,g,1.0,CONTAINER,149.600006104,kcal
45038404,0.512189865112,"LOWFAT YOGURT, FRUIT ON THE BOTTOM","Meijer, Inc.",170.0,g,1.0,CONTAINER,139.399993896,kcal
45038405,0.545998871326,LOWFAT YOGURT,"Meijer, Inc.",170.0,g,1.0,CONTAINER,139.399993896,kcal
45038406,0.778192281723,LIGHT NONFAT YOGURT,"Meijer, Inc.",170.0,g,1.0,CONTAINER,90.0999984741,kcal
45038407,0.742062151432,LIGHT NONFAT YOGURT,"Meijer, Inc.",170.0,g,1.0,CONTAINER,90.0999984741,kcal
45038408,0.743710398674,"PURPLE COW, NONFAT LIGHT YOGURT, PEACH","Meijer, Inc.",170.0,g,1.0,CONTAINER,90.0999984741,kcal
45038410,0.816281914711,"PURPLE COW, NONFAT YOGURT, LIGHT RASPBERRY","Meijer, Inc.",170.0,g,1.0,CONTAINER,90.0999984741,kcal
